Lien,Prix,Type de propriété,Vente publique,Immeuble de rapport,Bien neuf,Code Postal,Ville,Sous-type de propriété,Nombre de façades,Etat du bâtiment,Surface habitable,Nombre de chambre(s),Type de cuisine,Feu ouvert,Meublé,Jardin,Surface du jardin,Terrasse,Surface de la terrasse,Surface totale du terrain,Piscine,Surface de la zone constructible
https://www.immoweb.be/fr/annonce/appartement-de-service/a-vendre/anzegem/8570/8894992?searchId=5f562e1c48b21,157500,Appartement,False,False,False,8570,Anzegem,Appartement de service,4.0,None,60.0,1,None,False,False,False,None,False,None,None,False,None
https://www.immoweb.be/fr/annonce/appartement-de-service/a-vendre/anzegem/8570/8894991?searchId=5f562e1c48b21,157500,Appartement,False,False,False,8570,Anzegem,Appartement de service,4.0,None,63.0,1,None,False,False,False,None,False,None,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/wilrijk/2610/8914404?searchId=5f562e1c48b21,168000,Appartement,False,False,False,2610,Wilrijk,Appartement,None,Excellent état,50.0,1,None,False,False,False,None,False,None,None,False,None
https://www.immoweb.be/fr/annonce/duplex/a-vendre/ostende/8400/8920172?searchId=5f562e1c48b21,168000,Appartement,False,False,False,8400,Ostende,Duplex,2.0,Bon,123.0,2,None,False,False,False,None,False,None,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/koksijde/8670/8902989?searchId=5f562e1c48b21,185000,Appartement,False,False,False,8670,Koksijde,Appartement,2.0,À rafraîchir,81.0,3,None,False,False,False,None,False,None,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/kuurne/8520/7938994?searchId=5f562e1c48b21,189050,Appartement,False,False,False,8520,Kuurne,Appartement,None,Excellent état,88.0,2,None,False,False,False,None,False,None,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/kuurne/8520/7938993?searchId=5f562e1c48b21,192250,Appartement,False,False,False,8520,Kuurne,Appartement,None,Excellent état,97.0,2,None,False,False,False,None,False,None,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/kuurne/8520/7938997?searchId=5f562e1c48b21,194860,Appartement,False,False,False,8520,Kuurne,Appartement,None,Excellent état,88.0,2,None,False,False,False,None,False,None,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/bornem/2880/8901297?searchId=5f562e1c48b21,229000,Appartement,False,False,False,2880,Bornem,Appartement,None,None,85.0,2,None,False,False,False,None,True,9.0,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/bornem/2880/8901296?searchId=5f562e1c48b21,299000,Appartement,False,False,False,2880,Bornem,Appartement,None,None,105.0,2,None,False,False,False,None,True,74.0,None,False,None
https://www.immoweb.be/fr/annonce/loft/a-vendre/zottegem/9620/8858413?searchId=5f562e1c48b21,300000,Appartement,False,False,False,9620,Zottegem,Loft,4.0,None,159.0,2,None,False,False,False,None,True,None,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/lier/2500/8899615?searchId=5f562e1c48b21,395000,Appartement,False,False,False,2500,Lier,Appartement,None,None,160.0,3,None,False,False,True,None,False,None,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/ostende/8400/8894328?searchId=5f562e1c48b21,525000,Appartement,False,False,False,8400,Ostende,Appartement,None,None,106.0,2,None,False,False,False,None,False,None,None,False,132.0
https://www.immoweb.be/fr/annonce/appartement/a-vendre/gand/9000/8917138?searchId=5f562e1c48b21,675000,Appartement,False,False,False,9000,Gand,Appartement,None,Excellent état,124.0,2,None,False,False,False,None,True,21.0,None,False,None
https://www.immoweb.be/fr/annonce/penthouse/a-vendre/gand/9000/8909884?searchId=5f562e1c48b21,930000,Appartement,False,False,False,9000,Gand,Penthouse,None,None,171.0,2,None,False,False,False,None,True,40.0,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/blankenberge/8370/8838973?searchId=5f562e1c48b21,145000,Appartement,False,False,False,8370,Blankenberge,Appartement,2.0,None,70.0,2,None,False,False,False,None,False,None,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/middelkerke/8434/8858106?searchId=5f562e1c48b21,186000,Appartement,False,False,False,8434,Middelkerke,Appartement,2.0,None,100.0,1,Équipée,False,False,True,18.0,False,None,None,False,100.0
https://www.immoweb.be/fr/annonce/appartement/a-vendre/bornem/2880/8471161?searchId=5f562e1c48b21,199000,Appartement,False,False,False,2880,Bornem,Appartement,None,None,68.0,2,None,False,False,False,None,True,None,None,False,68.0
https://www.immoweb.be/fr/annonce/appartement/a-vendre/kuurne/8520/7549781?searchId=5f562e1c48b21,207535,Appartement,False,False,False,8520,Kuurne,Appartement,None,Excellent état,88.0,2,None,False,False,False,None,False,None,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/aarschot/3200/8839278?searchId=5f562e1c48b21,211750,Appartement,True,False,False,3200,Aarschot,Appartement,None,None,None,2,Équipée,False,False,False,None,True,None,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/alost/9300/8661188?searchId=5f562e1c48b21,225000,Appartement,False,False,False,9300,Alost,Appartement,None,None,92.0,2,None,False,False,False,None,True,9.0,None,False,None
https://www.immoweb.be/fr/annonce/appartement-de-service/a-vendre/malines/2800/7910040?searchId=5f562e1c48b21,237000,Appartement,False,False,False,2800,Malines,Appartement de service,None,Excellent état,74.0,1,None,False,False,False,None,True,6.0,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/gavere/9890/8778437?searchId=5f562e1c48b21,249500,Appartement,False,False,False,9890,Gavere,Appartement,None,Excellent état,100.0,2,None,False,False,False,None,True,8.0,None,False,None
https://www.immoweb.be/fr/annonce/appartement/a-vendre/bornem/2880/8471159?searchId=5f562e1c48b21,257650,Appartement,False,False,False,2880,Bornem,Appartement,None,None,95.0,2,None,False,False,False,None,True,None,None,False,95.0
https://www.immoweb.be/fr/annonce/duplex/a-vendre/nalinnes/6120/8631739?searchId=5f562e1c48b21,270000,Appartement,False,False,False,6120,Nalinnes,Duplex,None,Excellent état,None,4,None,False,False,False,None,True,None,None,False,None
