Lien,Prix,Type de propriété,Vente publique,Immeuble de rapport,Bien neuf,Code Postal,Ville,Sous-type de propriété,Nombre de façades,Etat du bâtiment,Surface habitable,Nombre de chambre(s),Type de cuisine,Feu ouvert,Meublé,Jardin,Surface du jardin,Terrasse,Surface de la terrasse,Surface totale du terrain,Piscine,Surface de la zone constructible
https://www.immoweb.be/fr/annonce/maison/a-vendre/lauw/3700/8889334?searchId=5f562797bc958,75000,Maison,True,False,False,3700,Lauw,Maison,4.0,À rénover,None,3,None,False,False,False,None,False,None,701.0,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/elouges/7370/8751836?searchId=5f562797bc958,75000,Maison,False,False,False,7370,Elouges,Maison,3.0,À rénover,179.0,3,None,False,False,False,None,False,None,260.0,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/quievrain/7380/8709534?searchId=5f562797bc958,80000,Maison,False,False,False,7380,Quiévrain,Maison,2.0,None,104.0,2,Semi-équipée,False,False,False,None,False,None,110.0,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/tisselt/2830/8879617?searchId=5f562797bc958,124000,Maison,True,False,False,2830,Tisselt,Maison,3.0,None,120.0,3,None,False,False,True,None,True,None,372.0,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/rochefort/5580/8921336?searchId=5f562797bc958,140000,Maison,True,False,False,5580,Rochefort,Maison,4.0,None,None,5,Équipée,False,False,False,None,False,None,739.0,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/tertre/7333/8792122?searchId=5f562797bc958,140000,Maison,False,False,False,7333,Tertre,Maison,2.0,None,188.0,3,Semi-équipée,False,False,False,None,False,None,370.0,False,None
https://www.immoweb.be/fr/annonce/immeuble-a-appartements/a-vendre/dinant/5500/8870507?searchId=5f562797bc958,150000,Maison,False,True,False,5500,Dinant,Immeuble à appartements,2.0,None,38.0,3,None,False,False,False,None,False,None,430.0,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/chatelet/6200/8903700?searchId=5f562797bc958,159000,Maison,False,False,False,6200,CHATELET,Maison,2.0,À rénover,165.0,4,None,False,False,False,None,True,None,None,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/daussois/5630/8918515?searchId=5f562797bc958,160000,Maison,False,False,False,5630,Daussois,Maison,2.0,None,136.0,3,Équipée,True,False,True,None,False,None,80.0,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/heusden-zolder/3550/8848640?searchId=5f562797bc958,180000,Maison,True,False,False,3550,Heusden-Zolder,Maison,4.0,None,201.0,5,None,False,False,False,None,False,None,1650.0,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/menin/8930/8902217?searchId=5f562797bc958,187500,Maison,False,False,False,8930,Menin,Maison,None,Bon,None,3,None,False,False,False,None,False,None,None,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/putte/2580/8918161?searchId=5f562797bc958,195000,Maison,True,False,False,2580,Putte,Maison,4.0,None,None,3,None,False,False,False,None,True,None,1144.0,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/turnhout/2300/8834774?searchId=5f562797bc958,197500,Maison,False,False,False,2300,Turnhout,Maison,2.0,None,140.0,3,None,False,False,True,10.0,False,None,95.0,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/wevelgem/8560/8911653?searchId=5f562797bc958,199000,Maison,False,False,False,8560,Wevelgem,Maison,2.0,Bon,174.0,4,Équipée,False,False,True,304.0,False,None,400.0,False,96.0
https://www.immoweb.be/fr/annonce/maison/a-vendre/courtrai/8500/8888197?searchId=5f562797bc958,219000,Maison,False,False,False,8500,Courtrai,Maison,2.0,Bon,160.0,3,Équipée,False,False,False,None,False,None,85.0,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/menin/8930/8897932?searchId=5f562797bc958,220000,Maison,False,False,False,8930,Menin,Maison,None,Excellent état,150.0,2,Équipée,False,False,False,None,False,None,None,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/kortemark/8610/8874792?searchId=5f562797bc958,225000,Maison,False,False,False,8610,Kortemark,Maison,4.0,Bon,None,3,Équipée,False,False,False,None,True,None,1163.0,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/lebbeke/9280/8890271?searchId=5f562797bc958,229000,Maison,False,False,False,9280,Lebbeke,Maison,None,À rafraîchir,185.0,2,None,False,False,False,None,False,None,376.0,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/zonnebeke/8980/8859916?searchId=5f562797bc958,230000,Maison,False,False,False,8980,Zonnebeke,Maison,None,À rénover,180.0,4,None,False,False,True,None,False,None,475.0,False,None
https://www.immoweb.be/fr/annonce/maison/a-vendre/ruddervoorde/8020/8901390?searchId=5f562797bc958,235000,Maison,False,False,False,8020,Ruddervoorde,Maison,2.0,À rafraîchir,None,2,Semi-équipée,False,False,False,None,False,None,391.0,False,None
